,volume,livre,chapitre,id,count,gender,number,mentions,agent,patient,mod,poss,action,affect_emotion,body_parts,capability_obligation,cognition,communication,environment,existence_state,human_relations,motion,not_a_valid_character_attribute,perception,personality_traits,physical_objects,physical_traits,possession,sociological
10,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,6.0,"{'occurrence': 4, 'mention_ratio': 0.0323}","{'ratio': 0.75, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 0.75, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'hugo', 'c': 1}, {'n': 'sire de somerel', 'c': 1}], 'common': [{'n': 'le même', 'c': 1}], 'pronoun': [{'n': 'qui', 'c': 1}]}","[{'w': 'doter', 'i': 87}]",[],[],"[{'w': 'sire', 'i': 80}]",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,7.0,"{'occurrence': 4, 'mention_ratio': 0.0323}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'les français', 'c': 4}], 'pronoun': []}","[{'w': 'incendier', 'i': 1240}, {'w': 'arriver', 'i': 2628}, {'w': 'trouver', 'i': 2643}, {'w': 'grimper', 'i': 2701}]",[],"[{'w': 'maître', 'i': 1228}]",[],1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
12,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,8.0,"{'occurrence': 3, 'mention_ratio': 0.024200000000000003}","{'ratio': 0.33330000000000004, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 0.33330000000000004, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [], 'common': [{'n': 'monsieur', 'c': 1}], 'pronoun': [{'n': 'vous', 'c': 2}]}","[{'w': 'aimer', 'i': 3077}]",[],[],[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,9.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0.5, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [], 'pronoun': [{'n': 'son', 'c': 1}]}","[{'w': 'envoyer', 'i': 413}]",[],[],"[{'w': 'frère', 'i': 417}]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,10.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [{'n': 'la brigade bauduin', 'c': 1}, {'n': 'la brigade soye', 'c': 1}], 'common': [], 'pronoun': []}","[{'w': 'pouvoir', 'i': 478}]",[],[],[],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,11.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'les gardes anglaises', 'c': 2}], 'pronoun': []}",[],"[{'w': 'trouver', 'i': 2643}]","[{'w': 'anglais', 'i': 933}, {'w': 'anglais', 'i': 2653}]",[],0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
16,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,12.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 0, 'inference': {'Singular': 0, 'Plural': 0}, 'max': 0, 'argmax': 'Null'}","{'proper': [], 'common': [], 'pronoun': [{'n': 'on', 'c': 2}]}","[{'w': 'jeter', 'i': 1744}, {'w': 'puiser', 'i': 1838}]",[],[],[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,13.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 0.5, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'la famille', 'c': 1}], 'pronoun': [{'n': 'qui', 'c': 1}]}","[{'w': 'occuper', 'i': 2109}, {'w': 'avoir', 'i': 2112}]",[],[],"[{'w': 'jardinier', 'i': 2117}]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
18,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,14.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 0.5, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [], 'pronoun': [{'n': 'nous', 'c': 1}, {'n': 'on', 'c': 1}]}","[{'w': 'coller', 'i': 2175}]","[{'w': 'emporter', 'i': 2159}]",[],[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,15.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 0.5, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'six voltigeurs du 1 er léger', 'c': 1}], 'pronoun': [{'n': 'leur', 'c': 1}]}","[{'w': 'accepter', 'i': 2467}]",[],"[{'w': '1', 'i': 2443}, {'w': 'er', 'i': 2444}, {'w': 'léger', 'i': 2445}]","[{'w': 'fosse', 'i': 2465}]",0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
